latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,confidence,version,bright_t31,frp,daynight
-22.992,148.137,348.2,1.2,1.1,2020-10-26,0035,T,93,6.0NRT,309.7,53.4,D
-22.992,148.13,336.1,1.2,1.1,2020-10-26,0035,T,85,6.0NRT,310.1,28.5,D
-22.994,148.142,336.3,1.2,1.1,2020-10-26,0035,T,85,6.0NRT,309.1,29.5,D
-23.444,149.142,321.3,1.4,1.2,2020-10-26,0035,T,64,6.0NRT,303.9,9.5,D
-23.835,150.739,320.7,1.8,1.3,2020-10-26,0035,T,68,6.0NRT,301.9,17.3,D
-24.824,150.856,320.6,1.9,1.3,2020-10-26,0035,T,70,6.0NRT,298.5,28.5,D
-24.825,150.874,321.6,1.9,1.3,2020-10-26,0035,T,72,6.0NRT,297.7,32.3,D
-25.82,152.105,325.8,2.4,1.5,2020-10-26,0035,T,73,6.0NRT,296.4,56.1,D
-25.814,152.099,319.1,2.4,1.5,2020-10-26,0035,T,64,6.0NRT,296,35.7,D
-25.816,152.122,317,2.4,1.5,2020-10-26,0035,T,62,6.0NRT,298.4,28.9,D
-25.309,147.177,329.8,1.1,1.1,2020-10-26,0035,T,78,6.0NRT,305.4,21.1,D
-26.795,148.339,321.6,1.4,1.2,2020-10-26,0035,T,33,6.0NRT,305.1,10.7,D
-28.6,148.999,321.9,1.6,1.2,2020-10-26,0035,T,56,6.0NRT,306.8,11.8,D
-31.135,145.42,325.3,1.1,1,2020-10-26,0035,T,0,6.0NRT,290.2,18.9,D
-37.83,144.926,307.1,1.2,1.1,2020-10-26,0035,T,0,6.0NRT,289.5,3.8,D
-37.468,141.807,380.6,1,1,2020-10-26,0035,T,100,6.0NRT,297.3,154.4,D
-37.469,141.819,343.8,1,1,2020-10-26,0035,T,93,6.0NRT,293.3,47.8,D
-37.905,145.24,303.3,1.3,1.1,2020-10-26,0035,T,33,6.0NRT,288.5,3.7,D
-37.948,145.071,306.4,1.2,1.1,2020-10-26,0035,T,51,6.0NRT,289.5,4.2,D
-38.1,145.164,306.3,1.3,1.1,2020-10-26,0035,T,47,6.0NRT,289.9,6.8,D
-7.899,139.925,308.5,3.3,1.7,2020-10-26,0030,T,0,6.0NRT,283.7,27.7,D
-11.848,142.448,322.7,1.8,1.3,2020-10-26,0030,T,57,6.0NRT,295.2,20.8,D
-11.851,142.465,323.3,1.8,1.3,2020-10-26,0030,T,64,6.0NRT,296.5,22.7,D
-11.86,142.446,335.9,1.8,1.3,2020-10-26,0030,T,87,6.0NRT,297.1,56.4,D
-11.862,142.463,332.1,1.8,1.3,2020-10-26,0030,T,84,6.0NRT,298.5,44.8,D
-12.294,142.844,319.1,1.6,1.3,2020-10-26,0030,T,28,6.0NRT,291.8,12.9,D
-12.358,142.879,319,1.6,1.3,2020-10-26,0030,T,25,6.0NRT,293.1,13.5,D
-12.423,142.923,322.3,1.6,1.2,2020-10-26,0030,T,27,6.0NRT,294.1,19.3,D
-12.453,142.896,323.9,1.6,1.3,2020-10-26,0030,T,43,6.0NRT,295.2,21.5,D
-12.475,142.893,328.9,1.6,1.3,2020-10-26,0030,T,42,6.0NRT,293.8,29.7,D
-12.504,142.857,328.5,1.6,1.3,2020-10-26,0030,T,46,6.0NRT,297.4,27.2,D
-12.506,142.872,336.7,1.6,1.3,2020-10-26,0030,T,86,6.0NRT,296.3,50.8,D
-12.518,142.87,332,1.6,1.3,2020-10-26,0030,T,78,6.0NRT,297.3,38.7,D
-14.604,143.932,335.7,1.3,1.1,2020-10-26,0030,T,81,6.0NRT,310.7,22.7,D
-14.607,143.956,336.4,1.3,1.1,2020-10-26,0030,T,82,6.0NRT,311.9,23.1,D
-14.609,143.967,336.6,1.3,1.1,2020-10-26,0030,T,74,6.0NRT,312.2,25.6,D
-14.935,142.102,338.3,1.7,1.3,2020-10-26,0030,T,84,6.0NRT,301.9,49.6,D
-15.371,144.119,337.1,1.2,1.1,2020-10-26,0030,T,82,6.0NRT,305.7,27.4,D
-13.1,-46.69,301.6,2.6,1.6,2020-10-26,0115,T,43,6.0NRT,288.6,17.4,N
-10.152,-36.418,312.3,1.3,1.1,2020-10-26,0115,T,84,6.0NRT,293.7,14.8,N
-10.142,-36.42,317.3,1.3,1.1,2020-10-26,0115,T,95,6.0NRT,293,21.4,N
-10.143,-36.432,306,1.3,1.1,2020-10-26,0115,T,65,6.0NRT,293.1,8.4,N
-9.522,-36.059,367.6,1.4,1.2,2020-10-26,0115,T,100,6.0NRT,295.8,182.2,N
-9.524,-36.072,325.6,1.4,1.2,2020-10-26,0115,T,100,6.0NRT,293.6,38.1,N
-9.398,-35.924,309.3,1.5,1.2,2020-10-26,0115,T,76,6.0NRT,293.4,14.4,N
-9.047,-36.033,306.4,1.5,1.2,2020-10-26,0115,T,68,6.0NRT,292.2,11.6,N
-9.044,-36.04,305.1,1.5,1.2,2020-10-26,0115,T,63,6.0NRT,292.2,9.6,N
-8.969,-36.052,319.9,1.5,1.2,2020-10-26,0115,T,99,6.0NRT,292.8,30.2,N
-8.971,-36.065,302.7,1.5,1.2,2020-10-26,0115,T,51,6.0NRT,292.5,7.6,N
-8.67,-35.178,312.4,1.7,1.3,2020-10-26,0115,T,85,6.0NRT,293,23.1,N
-7.385,-35.263,312.7,1.8,1.3,2020-10-26,0115,T,85,6.0NRT,292.9,25.2,N
-7.387,-35.279,311.3,1.8,1.3,2020-10-26,0115,T,82,6.0NRT,292.6,22.9,N
-7.731,-39.695,311.6,1,1,2020-10-26,0115,T,44,6.0NRT,296.2,9.8,N
-7.21,-37.449,306.9,1.3,1.1,2020-10-26,0115,T,67,6.0NRT,295.3,6.7,N
-7.085,-38.313,307.5,1.1,1.1,2020-10-26,0115,T,65,6.0NRT,296.5,4.8,N
-7.087,-38.323,307.9,1.1,1.1,2020-10-26,0115,T,67,6.0NRT,296.6,5.1,N
-6.925,-37.522,313.7,1.3,1.1,2020-10-26,0115,T,86,6.0NRT,295.4,12.9,N
-6.926,-37.534,308,1.3,1.1,2020-10-26,0115,T,68,6.0NRT,295,7,N
-8.065,-45.937,307.8,1.9,1.3,2020-10-26,0115,T,73,6.0NRT,286.2,20.5,N
-8.067,-45.954,325.8,1.9,1.4,2020-10-26,0115,T,100,6.0NRT,286.3,62.2,N
-8.061,-45.943,310.7,1.9,1.3,2020-10-26,0115,T,81,6.0NRT,286.6,24.6,N
-8.063,-45.96,305.3,1.9,1.4,2020-10-26,0115,T,54,6.0NRT,286.3,15.4,N
-7.45,-43.27,306.8,1.2,1.1,2020-10-26,0115,T,69,6.0NRT,293.8,6.4,N
-7.451,-43.281,309.2,1.2,1.1,2020-10-26,0115,T,77,6.0NRT,293.7,8.7,N
-6.537,-39.138,308.2,1.1,1,2020-10-26,0115,T,66,6.0NRT,295.9,6,N
-6.311,-38.68,309.2,1.1,1.1,2020-10-26,0115,T,70,6.0NRT,296.8,6.1,N
-6.306,-38.677,307.1,1.1,1.1,2020-10-26,0115,T,51,6.0NRT,296.7,5,N
-6.307,-38.687,317.6,1.1,1.1,2020-10-26,0115,T,95,6.0NRT,297.1,14.4,N
-6.456,-46.911,304.7,2.1,1.4,2020-10-26,0115,T,61,6.0NRT,289.6,15.9,N
-6.457,-46.918,307.9,2.1,1.4,2020-10-26,0115,T,73,6.0NRT,289.8,21.4,N
-5.258,-40.735,310.2,1,1,2020-10-26,0115,T,77,6.0NRT,295.9,5.8,N
-5.606,-46.149,308.8,1.8,1.3,2020-10-26,0115,T,76,6.0NRT,291.2,17,N
-4.819,-45.763,309.7,1.6,1.3,2020-10-26,0115,T,39,6.0NRT,291.6,14.2,N
-4.83,-45.753,309.1,1.6,1.3,2020-10-26,0115,T,26,6.0NRT,292.1,13.7,N
-4.818,-45.754,307.1,1.6,1.3,2020-10-26,0115,T,24,6.0NRT,291.6,11.3,N
-3.903,-40.978,304.9,1,1,2020-10-26,0115,T,61,6.0NRT,291.8,5.9,N
-3.587,-38.864,306.2,1.2,1.1,2020-10-26,0115,T,63,6.0NRT,293.8,6.2,N
-4.444,-45.533,303.2,1.6,1.2,2020-10-26,0115,T,54,6.0NRT,289.9,6.4,N
-4.547,-50.184,307,3.6,1.8,2020-10-26,0115,T,70,6.0NRT,289.9,41.9,N
-4.245,-48.715,305.6,2.8,1.6,2020-10-26,0115,T,65,6.0NRT,291.6,19.8,N
-4.242,-48.721,305.9,2.8,1.6,2020-10-26,0115,T,47,6.0NRT,291.6,20,N
-4.052,-50.804,300.8,4,1.9,2020-10-26,0115,T,33,6.0NRT,287.9,22.5,N
-3.996,-50.634,313.7,3.9,1.8,2020-10-26,0115,T,72,6.0NRT,288.3,91.3,N
-3.99,-50.641,317.7,3.9,1.8,2020-10-26,0115,T,86,6.0NRT,289.3,117.8,N
-3.666,-49.945,303.2,3.4,1.7,2020-10-26,0115,T,52,6.0NRT,291,23.5,N
-3.671,-49.949,304.3,3.4,1.7,2020-10-26,0115,T,59,6.0NRT,290.9,27,N
-3.184,-46.596,300.9,1.8,1.3,2020-10-26,0115,T,35,6.0NRT,281,10,N
-3.58,-50.413,306.1,3.7,1.8,2020-10-26,0115,T,67,6.0NRT,290.3,35.4,N
-3.503,-50.325,304.7,3.6,1.8,2020-10-26,0115,T,21,6.0NRT,290.3,24.1,N
-3.507,-50.358,308.6,3.6,1.8,2020-10-26,0115,T,75,6.0NRT,290.1,41.5,N
-3.571,-50.419,308.3,3.7,1.8,2020-10-26,0115,T,74,6.0NRT,290.4,43.3,N
-3.358,-49.236,303.8,2.9,1.6,2020-10-26,0115,T,57,6.0NRT,290,18.7,N
-3.51,-50.33,305.9,3.6,1.8,2020-10-26,0115,T,66,6.0NRT,290.3,32.7,N
-3.514,-50.362,304.2,3.6,1.8,2020-10-26,0115,T,59,6.0NRT,290,27,N
-3.344,-49.238,305.4,2.9,1.6,2020-10-26,0115,T,64,6.0NRT,289,23.8,N
-3.459,-50.435,300.5,3.7,1.8,2020-10-26,0115,T,18,6.0NRT,289.7,20.3,N
-3.509,-51.104,300.8,4.1,1.9,2020-10-26,0115,T,34,6.0NRT,289.4,24.8,N
-2.863,-46.875,301.1,1.9,1.3,2020-10-26,0115,T,33,6.0NRT,287,8.4,N
-3.196,-50.624,304.5,3.8,1.8,2020-10-26,0115,T,16,6.0NRT,289.9,34.6,N
-2.937,-51.814,302.2,4.6,2,2020-10-26,0115,T,47,6.0NRT,289.3,31.3,N
-2.937,-51.821,304,4.6,2,2020-10-26,0115,T,58,6.0NRT,289.4,41.3,N
-2.853,-51.354,303.9,4.2,1.9,2020-10-26,0115,T,57,6.0NRT,289.3,37.7,N
-2.844,-51.669,300.8,4.5,1.9,2020-10-26,0115,T,24,6.0NRT,288.4,30.9,N
-2.85,-51.709,302.3,4.5,2,2020-10-26,0115,T,44,6.0NRT,288.4,36.1,N
-2.843,-51.675,302.7,4.5,1.9,2020-10-26,0115,T,21,6.0NRT,288.5,38,N
-2.849,-51.714,300.5,4.5,2,2020-10-26,0115,T,6,6.0NRT,288.3,24.6,N
-2.713,-51.899,304.3,4.6,2,2020-10-26,0115,T,59,6.0NRT,289.4,37.6,N
-2.737,-51.945,304.2,4.7,2,2020-10-26,0115,T,49,6.0NRT,289.3,37.6,N
-2.342,-50.006,305.1,3.2,1.7,2020-10-26,0115,T,63,6.0NRT,292.3,23.7,N
-2.338,-51.939,313.2,4.6,2,2020-10-26,0115,T,87,6.0NRT,290.1,96.3,N
-2.344,-51.98,316.5,4.6,2,2020-10-26,0115,T,93,6.0NRT,289.9,121.8,N
-2.338,-51.944,317,4.6,2,2020-10-26,0115,T,94,6.0NRT,290.2,124.9,N
-2.344,-51.985,312.1,4.6,2,2020-10-26,0115,T,84,6.0NRT,289.8,89.1,N
-2.05,-52.079,315.3,4.7,2,2020-10-26,0115,T,91,6.0NRT,289.6,111.7,N
-2.051,-52.086,313.3,4.7,2,2020-10-26,0115,T,87,6.0NRT,289.6,97.5,N
5.389,6.658,301.6,1.5,1.2,2020-10-26,0055,A,43,6.0NRT,276.6,9.5,N
