latitude,longitude,bright_ti4,scan,track,acq_date,acq_time,satellite,confidence,version,bright_ti5,frp,daynight
30.34234,-88.49144,298.5,0.51,0.66,2020-12-07,0648,1,nominal,2.0NRT,278.4,1.6,N
30.34284,-88.4919,295.7,0.51,0.66,2020-12-07,0648,1,nominal,2.0NRT,277.6,2.2,N
30.20801,-91.00424,313.4,0.73,0.76,2020-12-07,0648,1,nominal,2.0NRT,278.7,2.5,N
30.00359,-90.40601,296.1,0.67,0.73,2020-12-07,0648,1,nominal,2.0NRT,282.4,1.7,N
29.99649,-90.39948,297.3,0.67,0.73,2020-12-07,0648,1,nominal,2.0NRT,282.6,1.7,N
30.00215,-90.40466,297.6,0.67,0.73,2020-12-07,0648,1,nominal,2.0NRT,282.7,1.6,N
20.90011,-77.98228,299.4,0.38,0.36,2020-12-07,0648,1,nominal,2.0NRT,277.3,0.4,N
17.96571,-76.73124,305.8,0.42,0.37,2020-12-07,0648,1,nominal,2.0NRT,293.2,1.1,N
42.70868,-73.85095,295.5,0.4,0.37,2020-12-07,0642,1,nominal,2.0NRT,268.5,0.4,N
42.49815,-73.81634,296,0.4,0.37,2020-12-07,0642,1,nominal,2.0NRT,269.5,0.5,N
42.49701,-73.81816,298.8,0.4,0.37,2020-12-07,0642,1,nominal,2.0NRT,269.1,0.8,N
41.80289,-71.53266,303.7,0.39,0.36,2020-12-07,0642,1,nominal,2.0NRT,268.6,0.7,N
42.81131,-80.09195,295.1,0.46,0.47,2020-12-07,0642,1,nominal,2.0NRT,269.4,1.6,N
42.80742,-80.09834,334.1,0.46,0.47,2020-12-07,0642,1,nominal,2.0NRT,274.7,5.8,N
42.8079,-80.10405,299.6,0.46,0.47,2020-12-07,0642,1,nominal,2.0NRT,268,2.3,N
40.79284,-72.92646,302.5,0.38,0.36,2020-12-07,0642,1,nominal,2.0NRT,269.3,0.6,N
40.63645,-74.22112,300.3,0.4,0.37,2020-12-07,0642,1,nominal,2.0NRT,277,1.9,N
40.63579,-74.21646,298.7,0.4,0.37,2020-12-07,0642,1,nominal,2.0NRT,271.1,1,N
40.6278,-74.20879,306,0.4,0.37,2020-12-07,0642,1,nominal,2.0NRT,270.6,1.2,N
